County,Population2022,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,,,,,
KingGeorge,27856,Stafford,Caroline,Westmoreland,Essex,,,,,,,,,,,
KingWilliam,18492,Hanover,Caroline,KingAndQueen,Gloucester,NewKent,,,,,,,,,,
Lancaster,10750,Northumberland,Richmond,Essex,Middlesex,Accomack,Northampton,,,,,,,,,
Lee,21982,Wise,Scott,,,,,,,,,,,,,
LexingtonCity,7457,Rockbridge,,,,,,,,,,,,,,
Loudoun,432085,Clarke,Fauquier,Fairfax,,,,,,,,,,,,
Louisa,40116,Albemarle,Orange,Spotsylvania,Hanover,Goochland,Fluvanna,,,,,,,,,
Lunenburg,12031,Mecklenburg,Charlotte,PrinceEdward,Nottoway,Brunswick,,,,,,,,,,
LynchburgCity,79287,Bedford,Amherst,Campbell,,,,,,,,,,,,
Madison,14000,Greene,Page,Rappahannock,Culpeper,Orange,,,,,,,,,,
ManassasCity,42642,PrinceWilliam,ManassasParkCity,,,,,,,,,,,,,
ManassasParkCity,16703,PrinceWilliam,Fairfax,,,,,,,,,,,,,
MartinsvilleCity,13725,Henry,,,,,,,,,,,,,,
Mathews,8490,Gloucester,Middlesex,Northampton,Accomack,PoquosonCity,,,,,,,,,,
Mecklenburg,30508,Halifax,Charlotte,Lunenburg,Brunswick,,,,,,,,,,,
Middlesex,10943,KingAndQueen,Essex,Gloucester,Mathews,Lancaster,Accomack,Northampton,,,,,,,,
Montgomery,98915,Pulaski,RadfordCity,Floyd,Roanoke,Craig,Giles,,,,,,,,,
Nelson,14652,Amherst,Rockbridge,Augusta,Albemarle,Buckingham,Appomattox,Campbell,,,,,,,,
NewKent,24986,Hanover,KingWilliam,JamesCity,CharlesCity,Henrico,Gloucester,,,,,,,,,
NewportNewsCity,184306,WilliamsburgCity,York,HamptonCity,Surry,IsleOfWight,SuffolkCity,,,,,,,,,
NorfolkCity,232995,VirginiaBeachCity,ChesapeakeCity,PortsmouthCity,IsleOfWight,NewportNewsCity,HamptonCity,Northampton,Mathews,,,,,,,
Northampton,11900,Accomack,Mathews,Middlesex,Lancaster,Northumberland,PoquosonCity,HamptonCity,NorfolkCity,VirginiaBeachCity,HamptonCity,,,,,
Northumberland,12302,Richmond,Westmoreland,Lancaster,Accomack,Northampton,,,,,,,,,,
NortonCity,3609,Wise,,,,,,,,,,,,,,
Nottoway,15559,PrinceEdward,Amelia,Dinwiddie,Brunswick,Lunenburg,,,,,,,,,,
Orange,37991,Greene,Madison,Culpeper,Spotsylvania,Louisa,Albemarle,,,,,,,,,
Page,23750,Shenandoah,Warren,Rappahannock,Madison,Rockingham,Greene,,,,,,,,,
Patrick,17643,Carroll,Floyd,Franklin,Henry,,,,,,,,,,,
PetersburgCity,33394,Dinwiddie,ColonialHeightsCity,PrinceGeorge,,,,,,,,,,,,
Pittsylvania,59952,Henry,Franklin,Bedford,Campbell,Halifax,DanvilleCity,,,,,,,,,
PoquosonCity,12582,York,Gloucester,Mathews,Northampton,HamptonCity,,,,,,,,,,
PortsmouthCity,97029,ChesapeakeCity,SuffolkCity,NortonCity,NewportNewsCity,HamptonCity,NorfolkCity,,,,,,,,,
Powhatan,31489,Cumberland,Goochland,Henrico,Chesterfield,Amelia,,,,,,,,,,
PrinceEdward,21927,Charlotte,Appomattox,Buckingham,Cumberland,Amelia,Nottoway,Lunenburg,,,,,,,,
PrinceGeorge,43134,Surry,Sussex,Dinwiddie,PetersburgCity,ColonialHeightsCity,HopewellCity,Chesterfield,CharlesCity,JamesCity,,,,,,
PrinceWilliam,486943,Fauquier,Loudoun,Fairfax,ManassasCity,ManassasParkCity,Stafford,,,,,,,,,
Pulaski,33706,Bland,Wythe,Carroll,Floyd,Montgomery,RadfordCity,,,,,,,,,
RadfordCity,16738,Pulaski,Montgomery,,,,,,,,,,,,,
Rappahannock,7502,Page,Warren,Clarke,Fauquier,Culpeper,Madison,,,,,,,,,
Richmond,9080,Westmoreland,Northumberland,Lancaster,Essex,,,,,,,,,,,
RichmondCity,229395,Henrico,Chesterfield,,,,,,,,,,,,,
Roanoke,96914,Craig,Montgomery,Floyd,Franklin,Bedford,Botetourt,SalemCity,RoanokeCity,,,,,,,
RoanokeCity,97847,Roanoke,SalemCity,,,,,,,,,,,,,
Rockbridge,22593,Alleghany,Bath,Augusta,Nelson,Amherst,Bedford,Botetourt,LexingtonCity,BuenaVistaCity,,,,,,
Rockingham,85397,HarrisonburgCity,Augusta,Shenandoah,Page,Greene,Albemarle,,,,,,,,,
Russell,25448,Wise,Dickenson,Buchanan,Tazewell,Smyth,Washington,,,,,,,,,
SalemCity,25523,Roanoke,RoanokeCity,,,,,,,,,,,,,
Scott,21476,Lee,Wise,Russell,Washington,,,,,,,,,,,
Shenandoah,44968,Rockingham,Page,Warren,Frederick,,,,,,,,,,,
Smyth,29449,Washington,Tazewell,Russell,Bland,Wythe,Grayson,,,,,,,,,
Southampton,17932,Greensville,Sussex,Surry,IsleOfWight,FranklinCity,WilliamsburgCity,,,,,,,,,
Spotsylvania,146688,Louisa,Orange,Culpeper,Stafford,FredericksburgCity,Caroline,Hanover,,,,,,,,
Stafford,163380,KingGeorge,Caroline,Spotsylvania,FredericksburgCity,Culpeper,Fauquier,PrinceWilliam,,,,,,,,
